[06/12/17 22:44:34] 10 Sec, Wait 
[06/12/17 22:55:33] = LOOP 22
[06/12/17 22:55:34] = LOOP 22
[06/12/17 22:55:35] = LOOP 16
[06/12/17 22:55:36] = LOOP 20
[06/12/17 22:55:37] = LOOP 24
[06/12/17 22:55:38] = LOOP 20
[06/12/17 22:55:39] = LOOP 21
[06/12/17 22:55:40] = LOOP 20
[06/12/17 22:55:41] = LOOP 28
[06/12/17 22:55:42] = LOOP 23
[06/12/17 22:55:43] = LOOP 32
[06/12/17 22:55:44] = LOOP 22
[06/12/17 22:55:46] = LOOP 25
[06/12/17 22:55:47] = LOOP 23
[06/12/17 22:55:48] = LOOP 26
[06/12/17 22:55:49] = LOOP 29
[06/12/17 22:55:50] = LOOP 31
[06/12/17 22:55:51] = LOOP 24
[06/12/17 22:55:52] = LOOP 20
[06/12/17 22:55:53] = LOOP 19
[06/12/17 22:55:54] = LOOP 20
[06/12/17 22:55:56] = LOOP 19
[06/12/17 22:55:57] = LOOP 23
[06/12/17 22:55:58] = LOOP 25
[06/12/17 22:55:59] = LOOP 20
[06/12/17 22:56:00] = LOOP 20
[06/12/17 22:56:01] = LOOP 22
[06/12/17 22:56:02] = LOOP 20
[06/12/17 22:56:03] = LOOP 20
[06/12/17 22:56:04] = LOOP 19
[06/12/17 22:56:05] = LOOP 22
[06/12/17 22:56:06] = LOOP 13
[06/12/17 22:56:07] = LOOP 20
[06/12/17 22:56:08] = LOOP 25
[06/12/17 22:56:09] = LOOP 25
[06/12/17 22:56:10] = LOOP 23
[06/12/17 22:56:12] = LOOP 16
[06/12/17 22:56:13] = LOOP 16
[06/12/17 22:56:14] = LOOP 23
[06/12/17 22:56:15] = LOOP 18
[06/12/17 22:56:16] = LOOP 21
[06/12/17 22:56:17] = LOOP 26
[06/12/17 22:56:18] = LOOP 20
[06/12/17 22:56:19] = LOOP 21
[06/12/17 22:56:20] = LOOP 32
[06/12/17 22:56:21] = LOOP 16
